"","primary_drug_concept_id_list","secondary_drug_concept_id_list","excluding_drug_concept_id_list","regimen_concept_id","regimen_name"
"1","1338512","1350066;1301267;1551099;1310317;1308290","1518254",35806345,"VMCP/VBAP"
"2","19137042","1380068;1379969","",35806353,"Interferon alfa and Thalidomide"
"3","19093366","","",35804139,"Pirarubicin monotherapy"
"4","1311409","","1308290;1309770;1310317;1314273;1314924;1329241;1338512;1350066;1351779;1377141;1378382;1380068;1391846;1394337;1397599;1436678;1506270;1551099;19008264;19008336;19078187;19086176;40238188;40241969",35806127,"Dacarbazine monotherapy"
"5","1338512","1310317;1308290","955632;1301267;1304107;1305058;1311078;1311409;1311443;1312706;1314273;1326481;1329241;1336825;1344905;1350066;1350504;1351779;1358436;1367268;1378509;1394337;1397599;1436650;1437379;1506270;1518254;1550557;1551099;1593155;19008264;19008336;19011440;19012585;19026972;19051642;19054997;19078187;19086176;19136750;35197850;40167582;43013182;44507676",35804365,"VAC (Adriamycin)"
"6","1314273","1310317","1305058;1308290;1309188;1311078;1311799;1312706;1314924;1329241;1336825;1337651;1338512;1344354;1350066;1350504;1351779;1395557;1397599;1506270;1518254;1550557;1551099;1593155;19008264;19008336;19012585;19026972;19031224;19051649;19054825;19068830;19078187;19136750;19137042;40175460;42874135",35804013,"R-TBI/Cy"
"7","1305058","1326481","1308290;1350504;1518254",35101471,"Methotrexate and Pegaspargase"
"8","1338512","1329241;19008264","1308290;1310317;1311409;1314273;1350504;1351779;1390051;1391846;1394337;1397599;1506270;1550557;1551099;19136210",35807089,"ABV (Vinblastine)"
"9","1338512","1390051;1518254;1308290","1314273",35806091,"VAD plus C"
"10","1344905","19078187","1314273;1350504;1354698;1518254;1550557;19026972;40167582",35804536,"Carboplatin and Ifosfamide"
"11","1311078","19054825","1304850;1309188;1311799",35805885,"Cladribine and Cytarabine"
"12","1310317","1395557;1309188","1314273",35804577,"FCM"
"13","19026972","1301267;1336825;1551099;1518254","",35806299,"VMP, then Rd"
"14","1325363","1314924","1344905;1397599",35806590,"Erlotinib and Gemcitabine"
"15","1338512","1329241;1305058;1310317;1518254;1308290","",35805103,"m-BACOD"
"16","1378382","1397599;955632","",35805342,"PCF"
"17","19026972","","1301267;1308290;1310317;1314273;1314865;1336825;1337651;1338512;1344905;1350504;1354698;1518254;1551099;1750500;19015523;19078187;35604032;35605744;35606214;40167582;42873638;46221435",35806361,"Epoetin and Lenalidomide"
"18","1350066","1397599;1311409;1309770;1380068","",35807525,"Cisplatin, Dacarbazine, IL-2, IFN alfa-2b plus /- Carmustine"
"19","1305058","1397599","1308290;1310317;1311078;1311443;1314273;1329241;1338512;1350504;1354698;1378382;1518254;19008264;19078187",35804155,"Cisplatin and Methotrexate"
"20","1506270","1314273;1551099;1310317","",35806665,"R-CP"
"21","1336825","1310317;1518254","1301267;1308290;1314273;1338512;1350504;1397599;19026972;19051649;19137042",35806061,"VDC"
"22","1314273","1314924;1310317;1308290;1550557","",35805041,"R-GCVP"
"23","1436678","1500211","",35805249,"Medroxyprogesterone and Tamoxifen"
"24","1337620","19025348","",35804259,"Capecitabine and Ixabepilone"
"25","1326481","1518254;1309188;1308290","",35804065,"Mitoxantrone, Pegaspargase, Vincristine, Dexamethasone"
"26","19137042","1310317;1518254","1301267;1336825;1338512;1350504;1397599;42873638",35806054,"CTD"
"27","1315942","1314924;1337620","",35806592,"GTX"
"28","1338512","1551099;1351779;1308290","1305058;1310317;1311409;1329241;1350504;1390051;1394337;19008264",35805820,"OPPA"
"29","19015523","40241969","",35101520,"Bendamustine and Brentuximab vedotin"
"30","19137042","","1301267;1308290;1310317;1314273;1314924;1336825;1338512;1341149;1350504;1351779;1379969;1380068;1397599;1518254;1550557;1551099;19015523;19051649;35605744;42873638;46221435",35806271,"Thalidomide monotherapy"
"31","36878852","","",35804169,"Vinflunine monotherapy"
"32","1315286","","",35806847,"Nilutamide and Orchiectomy"
"33","1318011","1315411;1337620","",35806893,"CapeOx, Cetuximab, RT"
"34","1338512","19132890","",35806868,"Doxorubicin and Strontium-89"
"35","1304919","","1319193;1344905;1397141;1397599;45775965",35804168,"Pemetrexed monotherapy"
"36","1397141","1397599;1314924","",35806411,"Cisplatin, Gemcitabine, Bevacizumab"
"37","1378382","1387104;1359548","",35804203,"THL (Taxol)"
"38","1397599","1366689","1314924",35805680,"Cisplatin and S-1"
"39","1338512","1336825;1310317;1518254","1301267;1308290;1314273;1350504;1397599;19137042",35806333,"V-HyperCAD"
"40","1378509","1310317","1308290;1338512;1350504;19078187",35805453,"Cyclophosphamide and Topotecan"
"41","1350066","1301267;1314273;1311078;1350504","1518254;19068830",35804012,"R-BEAM"
"42","1378382","42629079","1344905;1397141",35804321,"nab-Paclitaxel and Atezolizumab"
"43","1397599","1343346","1315411",35804260,"Cisplatin and Vinorelbine"
"44","1437379","19078097;1311078;1309188;1350504","903643",35803559,"Cytarabine and Idarubicin, then Etoposide and Mitoxantrone, then Cytarabine, Idarubicin, Thioguanine"
"45","1389036","1367268","",35805369,"Irinotecan and Mitomycin"
"46","1311078","1436650;1311799;1550557","",35803528,"Cytarabine, Daunorubicin, Mercaptopurine, Prednisolone"
"47","35605804","","40241937",35805321,"Cobimetinib monotherapy"
"48","1314273","1310317;1395557","1309188;1312706;19068830",35803621,"FCR"
"49","1522957","","1380068;1551099;19011440;44816340",35806385,"Octreotide LAR monotherapy"
"50","19051649","1314273;1551099;1310317;42874135","",35805040,"R-CHMP"
"51","1315411","","955632;1314924;1315942;1318011;1337620;1343346;1344905;1367268;1388796;1397599;40168303",35804795,"Cetuximab monotherapy"
"52","1338512","1314273;1551099;1310317;1308290","1305058;1311078;1336825;1350504;1397599;1518254;1593155;19008336;19026972;19078187;19136750",35805044,"R-miniCHOP"
"53","19015523","1314273;1395557","",35803617,"BFR"
"54","45775540","","",35807048,"Radioiodine ablation"
"55","35605744","19137042;1336825;1518254","",35101150,"Dara-VTD"
"56","1344905","1387104;1315942","42801287",35804307,"TCH (Taxotere, Carboplatin)"
"57","1318011","1397141;40168303;955632","1367268",35101643,"mFOLFOX6 and Bevacizumab (L-Leucovorin)"
"58","1387104","1315942","1310317;1344905;42801287",35804230,"ddTH (Taxotere)"
"59","1397599","1343346","1315411",35805351,"Cisplatin, Vinorelbine, RT"
"60","1333357","1395557","1301267;1310317;1314273;19068830",35803623,"Fludarabine, Busulfan, ATG"
"61","1337620","","793846;955632;1304044;1314924;1315411;1315942;1318011;1325363;1341149;1344354;1344905;1359548;1363387;1367268;1378382;1387104;1389036;1397141;1397599;19025348;19100985;42801287",35804227,"Capecitabine monotherapy"
"62","1350066","1310317;1309188;1350504","",35804004,"CBV-Mx"
"63","1378382","19078187","1305058;1397599",35805248,"Ifosfamide and Paclitaxel"
"64","1326481","1311078;1436650;1310317;19002912;1308290","",35806979,"Cyclophosphamide, Cytarabine, Mercaptopurine, Nelarabine, Pegaspargase, Vincristine"
"65","1350066","1310317;1309188;1350504","",35805048,"CBVM, then auto HSCT"
"66","19078187","1354698;1343346","",35805836,"Ifosfamide and Vinorelbine"
"67","1318011","1388796;955632","1314924;1315411;1315942;1367268;1397141;19100985",35804808,"FOLFOX chronotherapy"
"68","1389464","955632","1388796",35804802,"Fluorouracil and Levamisole"
"69","1314273","1336825;1551099;1310317","1308290;1338512",35805651,"VR-CP"
"70","19008264","1310317;1550557","",35102024,"CVP (Vinblastine/Prednisone)"
"71","1397141","","955632;1304919;1310317;1314273;1314924;1315942;1315946;1318011;1325363;1337620;1338512;1341149;1343346;1344354;1344905;1350504;1366689;1367268;1378382;1378509;1379969;1387104;1388796;1397599;19051649;21017157;40168303;42629079",35804319,"Bevacizumab-containing therapy"
"72","1305058","1350066;1551099;19136750","",35100617,"MBVP"
"73","1305058","1551099","955632;1308290;1310317;1311078;1311799;1314273;1329241;1338512;1350066;1350504;1351779;1394337;1436650;1436678;1518254;19008264;19008336;19012585;19078187;19136750",35805995,"Methotrexate and Prednisone"
"74","1338512","1551099;1308290","955632;1301267;1305058;1310317;1311078;1311409;1312706;1314273;1329241;1336825;1344905;1350066;1350504;1351779;1390051;1394337;1397599;1436650;1518254;1593155;1760616;19008264;19008336;19011440;19012585;19026972;19051642;19054997;19078187;19086176;19136750;35197850;40167582;44507676",35803695,"APO"
